id,cat0,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,cat10,cat11,cat12,cat13,cat14,cat15,cat16,cat17,cat18,cont0,cont1,cont2,cont3,cont4,cont5,cont6,cont7,cont8,cont9,cont10,target
23,A,N,A,C,G,BI,I,AV,AO,A,BY,A,A,A,B,D,B,B,B,0.479740173,0.921669976,0.908959327,0.25535156,0.286599439,0.803321888,0.881775508,0.30865981,0.637239211,0.473728447,0.522162902,1
25,B,F,A,A,G,BI,A,J,AE,C,HQ,A,A,A,B,D,B,B,B,0.630759678,0.783780179,0.776905605,0.299539319,0.386368844,0.79555209,0.58672167,0.778024679,0.759647784,0.353666652,0.664077973,1
36,B,J,C,A,F,BI,A,H,X,A,GS,A,A,A,B,B,D,D,B,0.467915958,0.427243935,0.448339257,0.316402159,0.805984131,0.356727473,0.486032955,0.391164209,0.345772187,0.256298514,0.39909336,0
37,A,I,A,A,E,BI,A,U,BM,A,DP,A,A,A,A,B,D,D,B,0.258750448,0.326664341,0.404019401,0.637051049,0.790166812,0.679452875,0.571394734,0.368891671,0.360735116,0.386541891,0.370892633,0
39,A,K,A,A,H,BI,C,E,AE,A,GS,A,A,A,A,B,D,D,B,0.383488469,0.311598812,0.353872917,0.576890228,0.787745126,0.558353134,0.949818238,0.382550363,0.345404499,0.282422941,0.317703947,1
40,B,I,A,B,G,BI,A,J,L,E,HQ,A,A,A,B,D,B,C,B,0.815587356,0.704608753,0.77978812,0.651995869,0.685023586,0.555719933,0.55045724,0.723986089,0.6729559,0.949654011,0.642128849,0
41,B,I,F,A,F,BI,A,AG,H,A,GS,A,A,A,A,B,D,D,B,0.310378456,0.332821777,0.489558053,0.35367509,0.384997358,0.178421362,0.933438249,0.356696099,0.442414749,0.267426669,0.41316483,0
43,A,J,Q,A,G,BI,A,U,M,A,HX,B,A,A,B,D,B,D,B,0.498902284,0.535594541,0.530866752,0.140973437,0.317355431,0.420211629,0.197129791,0.588563613,0.730062588,0.536646037,0.418689786,1
46,A,K,C,B,E,BU,A,W,Y,A,JK,B,A,A,B,B,D,D,B,0.471849214,0.33225867,0.39955171,0.310894433,0.572012311,0.354363173,0.246256057,0.391092106,0.380194901,0.568281676,0.540534374,0
47,A,I,A,C,F,AB,A,AS,BM,A,DJ,A,A,A,B,D,B,C,C,0.448077692,0.277021819,0.340256875,0.360100717,0.230979691,0.737655702,0.52516311,0.364013313,0.365577298,0.312406529,0.323755215,1
49,A,L,D,C,F,BI,A,AA,AX,A,FJ,B,A,A,B,B,D,D,B,0.697018649,0.779798066,0.841627118,0.24674691,0.685741116,0.678571006,0.403252578,0.358810712,0.418534306,0.72597606,0.397326372,0
51,A,F,A,B,F,BI,A,E,AD,F,LM,A,A,A,B,D,B,D,B,0.953514517,0.77865628,0.720920774,0.846720071,0.677518306,0.555002444,0.2509998,0.899308156,0.691534896,0.811248148,0.972333966,0
52,A,N,A,B,E,BI,A,E,AE,L,DJ,A,A,A,A,B,D,D,B,0.191027772,0.335774415,0.36118631,0.590623062,0.795349279,0.251705205,0.379707933,0.336004349,0.348091777,0.302619316,0.323435945,0
55,B,J,C,A,F,BI,A,B,AX,A,HK,B,A,A,A,B,D,D,B,0.402211304,0.686580094,0.710979188,0.635590923,0.227578193,0.798964533,0.662209106,0.667491077,0.396872361,0.534784723,0.457241618,0
56,A,I,A,C,M,BI,G,F,AT,A,MD,A,A,A,A,D,B,B,D,0.655737987,0.946678906,0.974975815,0.170028625,0.232927407,0.730944567,0.548213627,0.502033164,0.981720985,0.331123204,0.324990136,1
58,A,F,A,A,E,BI,A,E,BM,A,IG,A,A,A,A,B,D,D,B,0.713495083,0.597022935,0.640951474,0.724871254,0.780096599,0.078922904,0.140162932,0.892019741,0.600585845,0.455069057,0.957705944,0
60,A,I,A,A,G,BI,A,J,H,A,JG,A,A,A,A,D,B,D,B,0.676354836,0.651263063,0.623242184,0.293195549,0.384319231,0.77576473,0.63655033,0.600519485,0.739413578,0.560645042,0.449778546,0
61,B,I,J,B,E,BI,A,E,BM,A,LM,B,A,A,A,B,D,D,B,0.447200081,0.813166111,0.865505276,0.227192661,0.794402517,0.09391124,0.267416771,0.559736964,0.646660865,0.707380023,0.401357452,0
67,A,L,L,B,F,AB,A,AI,BH,A,GS,A,A,A,A,B,D,D,B,0.320354182,0.4063593,0.462246755,0.29687191,0.561198298,0.164918885,0.520717402,0.229173828,0.682538407,0.528883183,0.302008717,0
68,A,I,A,A,H,BI,A,AH,H,A,MD,A,A,A,B,D,B,C,C,0.541688874,0.798759369,0.768555554,0.264169399,0.282972833,0.735593296,0.82182293,0.435991126,0.946024573,0.524259303,0.526428055,1
69,A,M,C,A,E,M,A,E,AX,A,DP,A,A,A,B,B,D,D,B,0.11271497,0.149888734,0.259013186,0.278586508,0.798039245,0.258606637,0.421329335,0.206970585,0.223786918,0.259485732,0.43266499,0
72,A,K,A,A,F,BI,E,K,AE,J,AN,A,B,A,B,D,B,B,B,0.469499126,0.499878388,0.447961206,0.658882755,0.226253768,0.619600534,0.547964473,0.627456281,0.547150072,0.293036209,0.435483046,1
73,A,K,A,C,F,BI,A,AN,BM,A,HK,A,A,A,A,B,D,D,B,0.33806341,0.548127203,0.705012911,0.543091968,0.666635124,0.680468358,0.763030719,0.40527175,0.472076876,0.663703288,0.369027372,0
74,B,I,D,A,E,BI,A,AS,BM,A,AD,A,A,A,A,B,D,C,B,0.486683426,0.218025733,0.291882306,0.347576028,0.700026255,0.73682368,0.51942707,0.361592678,0.339894908,0.34547937,0.349481662,0
75,A,K,G,B,E,BI,A,E,BH,A,MC,B,A,A,B,B,D,D,B,0.420656498,0.442878963,0.494620058,0.214439174,0.58783281,0.419954064,0.407420857,0.345662653,0.353397684,0.348286064,0.37778419,0
77,A,F,A,C,G,BI,C,E,H,A,MD,A,A,A,A,B,D,D,B,0.364054749,0.66338052,0.616943275,0.183490377,0.817047142,0.814352063,0.627930919,0.431731823,0.613956856,0.43328992,0.532541422,1
80,A,K,A,A,E,BI,A,AD,L,J,KW,A,B,A,B,B,B,D,B,0.938730349,0.749289861,0.739251143,0.778553517,0.678062314,0.13220902,0.170963393,0.871528312,0.607733283,0.981784367,0.937184949,0
82,A,I,A,A,E,BI,A,E,BM,A,DP,A,A,A,B,B,D,D,B,0.433697515,0.345206148,0.348713232,0.585527084,0.788966877,0.73654672,0.383097253,0.360801108,0.363964596,0.321016235,0.4019497,0
84,A,I,D,D,D,BI,A,AA,BM,E,CK,A,B,A,A,B,D,D,B,0.200755517,0.267985472,0.222712106,0.32278985,0.224835874,0.73604,0.344423833,0.242583539,0.407637256,0.701656382,0.384421005,0
87,B,I,C,A,E,BI,A,AN,BM,A,DJ,A,A,A,A,B,D,D,B,0.357628834,0.246561689,0.259004001,0.557973601,0.329240191,0.782585546,0.442157141,0.361270487,0.447839634,0.753222731,0.392808366,0
90,A,L,G,A,I,BI,C,AV,J,A,HK,A,A,A,A,B,D,D,B,0.496156155,0.698718689,0.68627838,0.681514319,0.305969587,0.779015861,0.755276384,0.647521261,0.716724142,0.747067404,0.382474212,0
92,A,L,C,A,E,BI,C,K,AT,A,JG,B,A,A,A,D,B,D,D,0.33237169,0.456087976,0.425874697,0.29629848,0.211122273,0.803725398,0.856937797,0.44091846,0.714549169,0.406397943,0.305645886,1
95,B,F,D,A,G,BI,A,AS,AE,A,DJ,A,A,A,A,D,D,D,B,0.337671609,0.694443908,0.655177648,0.570041418,0.688418641,0.802902615,0.587630499,0.582596851,0.37950089,0.316204029,0.375440385,0
96,A,K,A,A,H,BI,C,E,BM,C,HK,A,A,A,B,B,D,D,B,0.691408801,0.770551293,0.782634587,0.640302909,0.797491068,0.555296959,0.598937197,0.694861049,0.464326778,0.837469751,0.939086209,0
98,A,F,D,A,K,BI,C,AS,AT,A,MD,A,A,A,B,B,D,D,B,0.673753937,0.943358539,0.931747042,0.370651067,0.741497516,0.737091196,0.570463218,0.567199913,0.808404952,0.589813774,0.584580856,1
100,B,O,A,C,F,BI,A,D,AX,A,HK,A,A,A,A,B,D,D,B,0.541486868,0.6193307,0.699638529,0.5948768,0.272501189,0.117139422,0.739036112,0.548223077,0.391358388,0.321311832,0.331081526,0
101,A,J,C,B,D,BU,A,N,L,A,HG,A,A,A,A,B,D,D,B,0.892582583,0.266146476,0.38066744,0.671844324,0.601782821,0.080025966,0.441527219,0.521446389,0.449502481,0.750614077,0.950913414,0
105,A,B,D,A,E,BI,A,AV,AE,A,HX,A,A,A,B,B,D,D,B,0.485404475,0.417724254,0.446388102,0.331637796,0.29927394,0.104872442,0.107099866,0.35684047,0.387420503,0.269902078,0.426934186,0
106,A,L,A,A,F,BI,A,AH,AX,A,LF,A,A,A,B,D,B,D,B,0.342172749,0.538613371,0.743379865,0.134534677,0.248495766,0.797608597,0.554323162,0.182710438,0.763031653,0.674821477,0.187378846,1
108,A,K,A,B,F,BI,I,E,AU,F,CS,A,B,A,A,B,D,B,B,0.390243277,0.633364926,0.578733982,0.216178695,0.809301099,0.30262606,0.586388612,0.552545842,0.793951714,0.251536674,0.328717804,1
109,A,F,A,A,G,BI,A,K,AT,C,GS,A,B,A,A,B,D,D,B,0.568580809,0.463543563,0.449878309,0.315735468,0.405009691,0.490257356,0.951361621,0.421214968,0.708522612,0.587839045,0.464038745,1
111,A,H,F,B,E,BI,A,U,AF,A,GK,B,A,A,A,B,D,D,B,0.335745907,0.461712921,0.431983011,0.680417695,0.2989524,0.42063951,0.531968213,0.519979518,0.339115734,0.238147091,0.370501373,0
112,A,H,Q,A,D,AB,E,AH,X,A,DC,B,A,A,B,D,B,D,C,0.337671521,0.46600521,0.511712441,0.240245335,0.227088784,0.553761417,0.406245088,0.356291949,0.361269662,0.533997781,0.519156376,1
113,A,I,A,B,F,BU,A,AN,S,A,LB,A,A,A,B,B,D,D,B,0.718094263,0.320700637,0.27979854,0.731129785,0.615875179,0.094793797,0.153619467,0.695452577,0.423965367,0.38615122,0.94347955,0
115,A,K,G,B,D,BI,A,AS,Y,F,HC,A,A,A,B,B,D,D,B,0.696323949,0.756380072,0.681363102,0.858505699,0.476480793,0.1561647,0.745698619,0.866517102,0.415985148,0.967301626,0.942583462,0
116,A,I,C,A,F,BI,C,H,H,A,GS,A,A,A,A,B,D,D,B,0.461036514,0.4734064,0.423565692,0.298203281,0.798567826,0.261614943,0.804391505,0.358363774,0.391930221,0.294191463,0.463630859,0
117,A,O,A,A,H,BI,A,I,AG,C,LM,A,A,A,B,D,B,C,B,0.537958527,0.815263015,0.754506714,0.303274301,0.677336709,0.777864601,0.832801473,0.819839681,0.677255982,0.562006351,0.54221703,1
118,A,K,C,B,E,BI,A,AN,AE,A,DJ,A,A,A,A,B,C,D,B,0.320362194,0.614845211,0.33956955,0.595630116,0.299376144,0.554659986,0.470293774,0.418462481,0.641047942,0.308127389,0.415918233,0
120,B,I,A,A,F,BI,E,AW,AX,A,FM,A,A,A,B,B,D,B,B,0.466242591,0.649533532,0.619052226,0.541185632,0.67402241,0.555926252,0.529941394,0.489706809,0.480924846,0.757961185,0.930074084,1
121,A,I,A,A,E,BI,C,AV,S,A,LM,A,A,A,A,A,D,D,B,0.891001311,0.368968596,0.761657226,0.890512625,0.292094719,0.127795326,0.157433038,0.961084646,0.909005187,0.423242014,0.903689028,0
122,A,I,A,B,F,T,A,AF,BO,A,IH,A,A,A,A,B,D,D,B,0.32040301,0.247098916,0.295264339,0.27843559,0.230435777,0.620793769,0.659866215,0.199320144,0.278745737,0.51605775,0.281969617,0
123,B,I,A,C,F,BI,A,U,BM,C,LN,A,A,A,A,B,D,D,B,0.880403033,0.772298286,0.789378434,0.832891014,0.669188191,0.555043595,0.532051645,0.667812363,0.492635044,0.703498652,0.938769149,0
124,A,I,A,B,H,BI,A,J,AF,A,MD,A,A,A,A,B,A,D,B,0.336760874,0.852967037,0.793084847,0.291158882,0.685730288,0.788494024,0.580971274,0.506448031,0.731098209,0.96877347,0.535991215,0
125,B,J,A,A,F,BI,A,J,AX,A,HK,A,A,A,A,B,A,D,B,0.664428335,0.683733805,0.718879311,0.570034535,0.244582018,0.798967548,0.679906398,0.640549479,0.418470678,0.625291404,0.4627843,1
126,A,J,A,A,E,AB,C,N,N,J,DP,A,B,A,B,B,D,D,B,0.465164012,0.35205426,0.38082387,0.34744619,0.628256306,0.275626425,0.486967245,0.540451298,0.42601786,0.245541873,0.314434265,0
127,A,I,A,A,I,BI,C,AF,AN,A,HK,A,A,A,B,B,D,D,B,0.440806266,0.41796989,0.473840465,0.309380186,0.210760498,0.770667508,0.85398236,0.366437071,0.523201321,0.712034175,0.463821516,1
128,A,I,A,B,E,BI,A,E,S,E,IK,A,A,A,B,D,D,D,B,0.698033804,0.505173141,0.644594607,0.569173577,0.793085428,0.232191669,0.158397838,0.577743358,0.554813033,0.286195011,0.647173534,0
129,A,L,A,A,G,BI,A,G,Q,A,MD,A,A,A,A,B,D,D,B,0.504186907,0.800133284,0.868315804,0.58855748,0.66327607,0.796250243,0.626659587,0.51325219,0.583721748,0.288995281,0.523028916,1
134,B,A,A,B,E,BI,A,N,Y,A,LB,A,A,A,B,B,D,D,B,0.637246111,0.55270846,0.720213549,0.676217142,0.557866002,0.680578579,0.270715259,0.542471283,0.475419842,0.765477551,0.524833711,0
135,B,I,C,A,E,BI,A,AS,J,A,DF,A,A,A,A,B,D,D,B,0.487429203,0.256310438,0.312858844,0.329020781,0.715724576,0.680084654,0.543623312,0.386414868,0.392898037,0.303099248,0.539801394,0
137,A,K,J,B,E,BI,A,AY,Y,A,KW,A,A,A,A,B,D,D,B,0.884375246,0.559121371,0.63538301,0.849057796,0.800700212,0.487658285,0.177371968,0.990959955,0.784863967,0.442598562,0.955564058,0
138,A,I,A,A,E,BI,E,E,N,A,IB,A,A,A,A,D,B,D,B,0.610819321,0.308560898,0.30933511,0.612439885,0.803671941,0.11784993,0.443934624,0.493434759,0.423681558,0.354546382,0.465548516,0
140,A,K,A,A,E,BI,C,K,BM,C,DJ,A,A,A,A,B,D,D,B,0.487221345,0.319516822,0.360580563,0.575214222,0.805567528,0.736006014,0.537769273,0.396744996,0.406010742,0.60009889,0.468630171,0
141,A,H,C,A,D,K,A,AF,BM,A,CB,B,A,B,B,D,B,C,C,0.499600084,0.143386531,0.245740851,0.269762915,0.78236458,0.076328311,0.222689394,0.300755734,0.371160124,0.271399661,0.413915202,0
142,A,I,C,B,E,BI,A,AV,AE,A,DP,A,A,A,A,B,D,D,B,0.520685625,0.247499022,0.322661836,0.340970703,0.582049492,0.143029479,0.493303949,0.37500011,0.356536918,0.377919488,0.33430637,0
144,A,L,G,A,H,BI,A,AS,AX,A,HK,A,A,A,B,B,D,D,B,0.970974859,0.808294139,0.814727961,0.653981337,0.735367724,0.678594141,0.33747812,0.850791572,0.727530279,0.83163195,0.921218308,0
150,A,I,A,A,E,BI,A,AX,M,A,DJ,A,A,A,B,A,D,D,B,0.032185256,0.306319723,0.329075259,0.600858839,0.281508944,0.619051916,0.56422374,0.333060154,0.310258484,0.447042847,0.327934987,0
151,A,F,J,A,E,BU,C,F,L,A,LY,A,A,A,B,D,B,D,B,0.728168001,0.795686909,0.869376123,0.793881581,0.297666979,0.232691283,0.138336315,0.938188597,0.446742431,0.807005204,0.860353583,0
152,A,I,A,B,E,BI,A,Y,AD,E,LN,A,A,A,B,B,D,D,B,0.937940148,0.758724893,0.821837253,0.870871211,0.686366863,0.097905203,0.211764803,0.833666883,0.756883673,0.789753178,0.935938239,0
154,A,H,Q,A,D,AB,M,AH,BC,A,JW,B,A,A,B,D,B,B,D,0.478995694,0.534330957,0.499801659,0.23370643,0.261724344,0.485764167,0.333903181,0.467622204,0.378975961,0.333917074,0.481490111,0
155,A,H,D,B,D,BI,I,AH,Y,A,FI,A,A,A,B,D,B,D,C,0.625743547,0.162231392,0.236519724,0.868702662,0.243265062,0.111506618,0.169004967,0.373871561,0.353267946,0.420498024,0.817046419,1
156,B,K,A,B,E,BI,C,J,AS,J,CR,A,B,A,A,B,D,D,B,0.338464024,0.342963348,0.35767256,0.571468729,0.385009221,0.141699269,0.589389008,0.439436354,0.425159958,0.526416747,0.376485665,0
158,B,I,D,A,E,BI,C,AS,BM,A,DJ,A,A,A,A,B,D,D,B,0.469273244,0.236900514,0.301908602,0.579475087,0.328432144,0.736591391,0.426793511,0.397633488,0.37342887,0.293102523,0.45986007,0
159,A,L,I,A,F,BI,C,L,BM,A,IE,B,A,A,B,A,B,D,B,0.487558847,0.706238281,0.696152209,0.325611165,0.681438663,0.555484772,0.318879119,0.388094631,0.376579828,0.522728347,0.469408248,1
161,A,B,D,A,G,BI,C,AL,H,A,GS,A,A,A,B,D,B,D,C,0.658616899,0.777541358,0.781066884,0.177164133,0.389099082,0.177621436,0.737487683,0.419667321,0.687264517,0.499089838,0.410189827,0
162,A,I,A,A,F,BI,C,C,AD,C,LF,A,A,A,A,B,D,D,B,0.408909962,0.837353335,0.729696714,0.704587273,0.682077955,0.554291912,0.552593898,0.804946283,0.469889553,0.740962604,0.884088501,0
163,A,F,A,A,G,BI,A,AK,AX,A,MD,A,A,A,A,B,D,D,B,0.550940604,0.917873405,0.947621628,0.577321685,0.781916832,0.555034053,0.592795955,0.566808086,0.549168197,0.576457892,0.526712047,1
164,A,B,D,A,G,BI,C,AS,K,A,DJ,B,A,A,B,D,B,C,C,0.491232007,0.472274291,0.440915124,0.339742023,0.722127829,0.782059059,0.662021899,0.415692046,0.658609399,0.687639642,0.314606504,1
166,A,F,A,B,E,BI,A,AI,S,A,HX,A,A,A,A,D,B,D,B,0.481868608,0.487181878,0.396161571,0.260583207,0.365216095,0.356272297,0.224438204,0.554157671,0.360628871,0.494102412,0.390111795,0
168,A,L,I,A,E,AB,C,E,AW,A,DJ,B,A,A,B,D,B,D,B,0.335760212,0.211216257,0.265870106,0.292939266,0.798088419,0.485724212,0.474621859,0.264259027,0.310371072,0.392121207,0.312741004,0
169,B,I,A,A,F,BI,A,E,AD,A,LF,A,A,A,A,A,D,B,B,0.892742669,0.760960764,0.723382314,0.645660817,0.804534708,0.619155764,0.767528408,0.81928761,0.783361283,0.810562054,0.902403165,0
171,B,I,A,B,E,BI,A,N,N,A,HJ,A,A,A,B,B,D,D,B,0.513789708,0.314190296,0.354020904,0.578749103,0.592230187,0.140916406,0.134955294,0.516287991,0.325834112,0.305746776,0.495241925,0
172,A,F,A,C,G,BI,A,E,Q,A,MD,A,A,A,A,B,D,D,B,0.639221987,0.667929022,0.84126363,0.701881518,0.674967958,0.553315242,0.309694146,0.848434536,0.736362448,0.752321656,0.953282773,0
173,A,L,L,A,F,BI,A,N,AX,A,HK,A,A,A,A,B,D,D,B,0.462907827,0.71166147,0.715424849,0.5941765,0.27428251,0.680206327,0.737325177,0.645447664,0.548164759,0.724382188,0.386359543,0
174,A,I,A,B,E,L,A,S,AE,A,LE,A,A,A,A,B,D,D,B,0.825356019,0.622865259,0.55749887,0.680845012,0.336856239,0.48725137,0.586388329,0.732212274,0.409774758,0.261461799,0.660799549,0
175,A,J,A,B,E,BU,I,W,S,A,HG,A,A,A,B,D,D,D,B,0.612821716,0.465775383,0.347325405,0.56006454,0.603980298,0.356859996,0.143070459,0.542760645,0.402463086,0.28912922,0.678599022,0
177,B,O,D,A,F,BI,A,R,BM,A,HK,A,A,A,A,B,D,D,B,0.367974397,0.252779765,0.712357677,0.5793512,0.674602204,0.68103057,0.660748555,0.375070315,0.381466394,0.739133559,0.306832049,0
178,A,H,A,A,G,BI,G,AS,AT,A,MD,A,A,A,A,D,B,D,B,0.551976232,0.918345131,0.910653899,0.286829601,0.717443091,0.802487321,0.552647793,0.389711373,0.635351221,0.267418305,0.543963869,1
182,A,I,A,A,F,BI,A,P,H,C,HB,A,A,A,A,A,A,D,D,0.315052766,0.465918973,0.457415808,0.279236864,0.228841469,0.555767136,0.94677575,0.432874605,0.900256609,0.343177755,0.299434229,1
183,B,K,A,B,E,BI,C,AA,AX,E,CR,A,B,A,A,B,D,D,B,0.316313679,0.332486473,0.325698994,0.325377153,0.354610808,0.736992489,0.582717118,0.280323957,0.36408234,0.577078975,0.313635675,0
184,A,I,A,B,E,BI,A,F,AE,A,DJ,A,A,A,A,B,D,D,B,0.315420961,0.286830535,0.385680777,0.252408103,0.283179911,0.172022847,0.567921354,0.26786051,0.351053338,0.25930343,0.382446209,0
186,A,I,A,C,H,BI,A,AV,AX,C,HK,A,A,A,A,B,D,D,B,0.264340732,0.744944785,0.777498826,0.700181834,0.713861304,0.555515862,0.340843062,0.820084918,0.150963941,0.822791663,0.940156671,0
188,B,H,G,C,F,BI,A,AF,AX,A,HK,A,A,A,A,B,D,B,B,0.122623147,0.691842278,0.804157945,0.055350543,0.186942226,0.785488292,0.880633272,0.333670431,0.428462602,0.662704271,0.258735849,0
189,A,F,A,A,E,AB,A,AI,I,E,HX,A,A,A,A,B,D,D,B,0.672179823,0.467575338,0.458414344,0.696289518,0.46868079,0.553912505,0.095461763,0.813555168,0.358609382,0.331353014,0.690752007,0
190,A,H,A,B,F,BI,A,AH,X,A,DJ,A,B,A,B,D,B,B,D,0.523310753,0.461603065,0.466539977,0.588278935,0.248077513,0.767742049,0.516349533,0.469040438,0.448693254,0.481217557,0.434356826,1
194,A,I,A,B,F,BU,C,C,AD,A,LY,A,A,A,B,B,B,D,B,0.728670004,0.572244574,0.674098918,0.706622342,0.682373931,0.260115386,0.238677934,0.611357268,0.441244513,0.566683027,0.80340288,1
195,A,M,A,D,D,BI,A,E,BM,C,CK,A,A,A,A,B,D,D,B,0.171746866,0.242850933,0.217071666,0.223492608,0.809403361,0.093113416,0.343865593,0.241632082,0.433150951,0.310837872,0.260609662,0
196,A,B,G,A,I,BI,A,AF,J,A,HV,A,A,A,B,B,D,D,B,0.286958396,0.954891493,0.937944384,0.169397733,0.73046873,0.780919343,0.858761369,0.556134298,0.992312255,0.536007591,0.582932784,1
205,A,M,D,A,G,BI,G,E,H,A,GS,A,A,A,A,D,B,C,C,0.396659196,0.585544246,0.928444134,0.205693788,0.808526953,0.784972679,0.896458933,0.453716575,0.903974352,0.509292891,0.386126523,1
207,A,I,A,A,F,BI,A,AH,BJ,A,LF,A,A,A,B,D,D,D,B,0.910229111,0.56108662,0.59114699,0.754698523,0.229954849,0.279883832,0.501665914,0.836874904,0.600291982,0.695031062,0.447042953,0
208,A,N,A,A,E,BI,C,AH,AX,J,LG,A,B,A,B,D,B,D,B,0.389331356,0.371804863,0.389935006,0.073159701,0.371131362,0.259672681,0.557363405,0.388598184,0.365649292,0.271134023,0.280179342,1
212,A,F,A,A,G,BI,A,J,L,A,HQ,A,A,A,B,D,B,B,B,0.62259736,0.789361337,0.777477683,0.726130885,0.679684483,0.775822676,0.779584065,0.733436325,0.933046571,0.947780308,0.657930022,1
215,A,H,J,G,E,AB,E,AU,BM,A,DP,B,A,A,B,B,B,D,B,0.606009908,0.437684942,0.395349416,0.604375709,0.786676053,0.620474872,0.129332816,0.368763698,0.728861593,0.697857155,0.522579683,0
217,B,F,A,A,F,BI,A,AN,S,A,LB,A,A,A,A,D,B,D,B,0.844775225,0.773828618,0.616977882,0.798031276,0.680416525,0.618231358,0.17981353,0.851468132,0.776000193,0.46969858,0.924794814,0
218,A,I,A,A,E,BI,C,U,X,E,CR,A,B,A,A,C,D,D,B,0.314786512,0.279661356,0.267288531,0.614744085,0.300163108,0.737361659,0.518135465,0.386483195,0.377835382,0.608881211,0.395101513,0
219,A,L,A,A,E,BI,G,F,J,A,IG,A,A,A,A,B,D,D,B,0.631659312,0.916452132,0.920639349,0.84147126,0.800471715,0.554123653,0.230503975,0.919467912,0.662608382,0.355649331,0.853958523,0
220,B,G,A,A,F,BI,A,K,BM,A,BG,A,A,A,B,B,D,D,B,0.324040893,0.219337998,0.851871245,0.439293397,0.823161555,0.732535698,0.57361573,0.365710139,0.4263223,0.742544617,0.293721145,0
224,A,L,C,A,E,AB,A,E,AX,A,DJ,B,A,A,B,B,D,D,B,0.236892606,0.29733343,0.286120977,0.577166321,0.788894598,0.79303634,0.527138654,0.342583227,0.34458901,0.290768376,0.319319061,1
225,A,G,M,A,H,BI,C,AL,F,A,KP,B,A,A,B,D,B,C,C,0.298847274,0.676888686,0.667518647,0.348527391,0.317632358,0.819061224,0.774988514,0.384073603,0.709515487,0.530020358,0.459213063,1
